setName,document,pageGroup,line,word,stem,lemma,wordCount,stemCount,lemmaCount,wordProp,stemProp,lemmaProp
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,6,cohesiona,cohesion,cohesión,1,2,2,4.1003772347055926e-5,8.200754469411185e-5,8.200754469411185e-5
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,6,engrana,engran,engrana,1,1,1,4.1003772347055926e-5,4.1003772347055926e-5,4.1003772347055926e-5
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,6,debido,deb,debemos,17,44,44,6.970641298999508e-4,0.0018041659832704609,0.0018041659832704609
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,6,carácter,caract,carácter,14,14,14,5.74052812858783e-4,5.74052812858783e-4,5.74052812858783e-4
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,6,instrumental,instrumental,instrumental,3,3,3,1.2301131704116778e-4,1.2301131704116778e-4,1.2301131704116778e-4
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,6,asigna,asign,asigna,1,2,2,4.1003772347055926e-5,8.200754469411185e-5,8.200754469411185e-5
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,6,primera,primer,primera,41,74,74,0.0016811546662292931,0.0030342791536821386,0.0030342791536821386
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,6,educación,educ,educación,44,70,70,0.0018041659832704609,0.0028702640642939152,0.0028702640642939152
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,6,básica,basic,básica,8,15,15,3.280301787764474e-4,6.15056585205839e-4,6.15056585205839e-4
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,6,domina,domin,dominar,1,12,12,4.1003772347055926e-5,4.920452681646711e-4,4.920452681646711e-4
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,6,instrumento,instrument,instrumentos,3,43,43,1.2301131704116778e-4,0.001763162210923405,0.001763162210923405
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,6,comunicacional,comunicacional,comunicacional,2,2,2,8.200754469411185e-5,8.200754469411185e-5,8.200754469411185e-5
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,6,tampoco,tampoc,tampoco,4,4,4,1.640150893882237e-4,1.640150893882237e-4,1.640150893882237e-4
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,6,apropiarse,apropi,apropiado,1,5,5,4.1003772347055926e-5,2.0501886173527966e-4,2.0501886173527966e-4
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,6,caudal,caudal,caudalosos,1,2,2,4.1003772347055926e-5,8.200754469411185e-5,8.200754469411185e-5
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,6,cognoscitivo,cognoscit,cognoscitivo,1,1,1,4.1003772347055926e-5,4.1003772347055926e-5,4.1003772347055926e-5
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,6,ofrece,ofrec,ofrece,4,18,18,1.640150893882237e-4,7.380679022470067e-4,7.380679022470067e-4
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,6,lograr,logr,lograr,10,18,18,4.100377234705593e-4,7.380679022470067e-4,7.380679022470067e-4
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,6,dominio,domini,dominio,7,7,7,2.870264064293915e-4,2.870264064293915e-4,2.870264064293915e-4
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,6,presentado,present,presente,4,58,58,1.640150893882237e-4,0.0023782187961292438,0.0023782187961292438
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,6,características,caracterist,características,11,15,15,4.510414958176152e-4,6.15056585205839e-4,6.15056585205839e-4
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,6,lingüísticas,lingüist,lingüísticas,3,5,5,1.2301131704116778e-4,2.0501886173527966e-4,2.0501886173527966e-4
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,6,actividades,activ,actividad,63,146,146,0.0025832376578645237,0.005986550762670166,0.005986550762670166
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,6,permitan,permit,permite,1,25,25,4.1003772347055926e-5,0.0010250943086763983,0.0010250943086763983
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,6,desarrollo,desarroll,desarrollo,37,93,93,0.0015171395768410693,0.0038133508282762016,0.0038133508282762016
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,6,destrezas,destrez,destrezas,6,7,7,2.4602263408233556e-4,2.870264064293915e-4,2.870264064293915e-4
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,6,habilidades,habil,habilidades,8,10,10,3.280301787764474e-4,4.100377234705593e-4,4.100377234705593e-4
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,6,idioma,idiom,idioma,3,3,3,1.2301131704116778e-4,1.2301131704116778e-4,1.2301131704116778e-4
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,6,praxis,praxis,praxis,1,1,1,4.1003772347055926e-5,4.1003772347055926e-5,4.1003772347055926e-5
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,6,permitirá,permit,permite,1,25,25,4.1003772347055926e-5,0.0010250943086763983,0.0010250943086763983
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,6,educando,educ,educación,4,70,70,1.640150893882237e-4,0.0028702640642939152,0.0028702640642939152
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,6,acerque,acerqu,acerque,1,1,1,4.1003772347055926e-5,4.1003772347055926e-5,4.1003772347055926e-5
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,6,manera,maner,manera,25,28,28,0.0010250943086763983,0.001148105625717566,0.001148105625717566
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,6,espontánea,espontane,espontánea,1,2,2,4.1003772347055926e-5,8.200754469411185e-5,8.200754469411185e-5
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,6,natural,natural,naturales,29,93,93,0.0011891093980646219,0.0038133508282762016,0.0038133508282762016
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,6,comunicacional,comunicacional,comunicacional,2,2,2,8.200754469411185e-5,8.200754469411185e-5,8.200754469411185e-5
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,6,partir,part,partir,18,54,54,7.380679022470067e-4,0.00221420370674102,0.00221420370674102
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,6,teorías,teor,teoría,1,1,1,4.1003772347055926e-5,4.1003772347055926e-5,4.1003772347055926e-5
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,6,acerca,acerc,acerca,3,6,6,1.2301131704116778e-4,2.4602263408233556e-4,2.4602263408233556e-4
